Город;"Код пункта Выдачи заказа";Адрес;Телефон;Время работы;Индекс;Ограничение по весу 
Абакан;ABK1;г. Абакан, ул. Чертыгашева, д.126, оф. 13;Тел.: +7 (3902) 32-03-24, +7 (953)-259-03-24;"Пн-Пт ? 10.00-19.0 Сб ? 10.00-16.0 Вс - выходной день";655001 
Азов;AZV1;Ростовская область, г. Азов, ул. Измайлова, д.55;Тел.: +7 (909) 428-89-00;"Пн-Пт ? 10.00-19.0 Сб ? 10.00-16.0 Вс - выходной день";346782 
Аксай;AKS1;Ростовская область, г. Аксай, ул. Садовая, д. 31, вход со двора;Тел. +7 (8632) 41-99-04, +7 (900) 129-23-19;"Пн-Пт ? 10.00-19.0 Сб ? 10.00-16.00 Вс - выходной день";346720 
Александров;ALV1;Владимирская область, г. Александров, ул. Красной молодежи, д.5;Тел.: +7 (915) 751-13-43;"Пн-Пт ? 10.00-19.0 Сб ? 10.00-16.00 Вс - выходной день";601650 
Алушта;ALSH1;Крым респ., г. Алушта, ул. Таврическая, д.4А;"Тел.: +7 (978) 047-47-37; +7 (978) 941-94-31";"Пн-Пт ? 10.00-19.0 Сб ? 10.00-16.00 Вс - выходной день";298510 
Альметьевск;ALT1;Татарстан респ., г. Альметьевск, ул. Чехова, д.19;Тел.: +7 (8553) 35-22-25;"Пн-Пт ? 9.00 ? 19.00 Сб ? 10.00-16.0 Вс ? выходной";423450 
Анапа;ANP1;Краснодарский край, г. Анапа, ул. Крымская, д.218, оф.19;Тел.: +7 (989) 233-25-25;"Пн - Пт ? 10.00-19.0 Сб ? 10.00-16.00";353440 
Ангарск;ANG2;Иркутская область, г. Ангарск ул. 89-й квартал, д. 1;Тел.: +7 (395) 558-69-99, + 7 (964) 128-42-21;"Пн-Пт ? 09.00 - 19.00 Сб ? 10.00-16.0 Вс ? выходной";665813 
Апрелевка;APR1;Московская обл., г. Апрелевка, ул. Парковая, д.3;Тел: +7 (916) 650-60-05, +7 (495) 928-30-13;"Пн-Пт ? 10.00-20.0 Сб ? 10.00-17.00 Вс ? выходной день";143360 
Арзамас;ARS1 ;Нижегородская область, г. Арзамас, ул. Парковая, д.1Г, оф.(Цокольный этаж);Тел.: +7 (930)-288-58-81;"Пн-Пт ? 10.00-19.0 Сб ? 10.00-16.0 Вс - выходной день";607230 
Армавир;ARM1;Краснодарский край, г.Армавир ул.Советской Армии, д.97, оф.27;Тел: +7 (86137) 5-01-35, +7 (928) 240-73-98;"Пн-Пт ? 10.00-19.0 Сб ? 10.00-16.00 Вс ? выходной день";352932 
Артем;VLK1;Приморский край, .г. Артем, ул. Ключевая, д.1/1,оф.1;Тел. +7 (914) 324-89-48, +7 (423-37) 3-11-24 ;"Пн-Пт ? 9.00-19.0 Сб ? 10.00-16.00 Вс ? выходной день";692760 
Архангельск;ARX4; г. Архангельск , ул.Свободы, д.53;Тел.: +7 (8182) 20-20-00, +7-960-016-02-97;"Пн-Пт ? 10.00-19.0 Сб ? 10.00-16.00 Вс ? выходной день";163000 
